Question :;Réponse 1;Réponse 2;Réponse 3;Réponse 4;Vérification
Quelle est la capitale de l'Allemagne ?;Minsk;Berlin;Luxembourg;Bucarest;Réponse 2
Quelle est la capitale de l'Autriche ?;Vienne ;Lisbonne;Helsinki;Brastislava;Réponse 1
Quelle est la capitale de la Belgique ?;Tirana;Sarajevo;Bruxelles;Vilnius;Réponse 3
Quelle est la capitale de la Bulgarie ?;Belgrade;Athènes;Madrid;Sophia ;Réponse 4
Quelle est la capitale de Chypre ?;Riga;Amsterdam;Podgorica;Nicosie;Réponse 4
Quelle est la capitale de la Croatie ?;Monaco;Zagreb;La Valette;Oslo;Réponse 2
Quelle est la capitale du Danemark ?;Budapest;Vatican;Copenhague;Zagreb;Réponse 3
Quelle est la capitale de l'Espagne ?;Varsovie;Madrid;Dublin;Lisbonne;Réponse 2
Quelle est la capitale de l'Estonie ?;Tallin;Luxembourg;Prague;Belgrade;Réponse 1
Quelle est la capitale de la Finlande ?;Helsinki;Reykjavik;Pristina;Paris;Réponse 1
Quelle est la capitale de la France ?;Berlin;Rome;Paris;Dublin;Réponse 3
Quelle est la capitale de la Grèce ?;Berne;Vaduz;Budapest;Athènes;Réponse 4
Quelle est la capitale de la Hongrie ?;Sarajevo;Budapest;Rome;Monaco;Réponse 2
Quelle est la capitale de l'Irlande ?;Prague;Londres;Dublin;Belgrade;Réponse 3
Quelle est la capitale de l'Italie ?;Rome;Vienne;Ronda;Minsk;Réponse 1
Quelle est la capitale de la Lettonie ?;Chisinau;Tirana;Riga;Monaco;Réponse 3
Quelle est la capitale de la Lituanie ?;Oslo;Vilnius;Lisbonne;Stockholm;Réponse 2
Quelle est la capitale du Luxembourg ?;Moscou;Helsinki;Bucarest;Luxembourg;Réponse 4
Quelle est la capitale de Malte ?;La Valette;Rome;Bratislava;Nicosie;Réponse 1
Quelle est la capitale des Pays-Bas ?;Oslo;Amsterdam;Lisbonne;Dublin;Réponse 2
Quelle est la capitale de la Pologne ?;Zagreb;Varsovie;Monaco;Londres;Réponse 2
Quelle est la capitale du Portugal ?;Berne;Amsterdam;Lisbonne;Budapest;Réponse 3
Quelle est la capitale de la République Tchèque ?;Prague;Podgorica;Zagreb;Dublin;Réponse 1
Quelle est la capitale de la Roumanie ?;Nicosie;Monaco;Skopje;Bucarest;Réponse 4
Quelle est la capitale de la Slovaquie ?;Bratislava;Riga;Berne;Vaduz;Réponse 1
Quelle est la capitale de la Slovénie ?;Copenhague;Ljubljana;Madrid;Luxembourg;Réponse 2
Quelle est la capitale de la Suède ?;Monaco;Berlin;Stockholm;Paris;Réponse 3
