Question :;Réponse 1;Réponse 2;Réponse 3;Réponse 4;Vérification;Explication
Quel est le plus petit os du corps ?;l'étrier;les vertèbres;l'os scaphoïde;la phalange distale;Réponse 1;l'étrier est le plus petit os du corps humain, il se situe dans l'oreille interne et permet d'amplifier la vibration sonore
Quand fût la chute de l'Empire Romain d'Orient ?;1492;476;1453;624;Réponse 3;l'Empire Romain d'Orient s'effondre le 29 Mai 1453 après la prise de Constantinople par les Turcs ottomans
Quelle est la hauteur d'une girafe ?;4 mètres;6 mètres;8 mètres;10 mètres;Réponse 2;la taille moyenne d'une girafe adulte est de 6 mètres de haut soit environ 2 étages !
Quel est l'animal qui cause le plus de morts en 1 an ?;l'Homme;le serpent;le crocodile;le moustique;Réponse 4;le moustique est l'animal qui cause le plus de morts en 1 an notamment à cause de toutes les maladies qu'il véhicule, notamment le paludisme
En quelle année a été réalisé le premier vol spatial orbital ?;1953;1957;1961;1965;Réponse 2;le premier vol spatial orbital a eu lieu le 4 octobre 1957 par le satellite soviétique Spoutnik 1
Que mange un bébé koala de 6 mois ?;du lait ;du bambou;des feuilles ;les excréments de sa mère;Réponse 4;jusqu'à 6 mois, le bébé koala ne peut pas se nourrir seul donc il consomme les excréments de sa mère
Qu'est ce qu'une planète interstellaire?;une planète qui n'est pas liée à une étoile;une planète proche du Soleil;une planète éloignée du Soleil;une planète où il n'y a pas d'eau;Réponse 1;une planète interstellaire est un planète qui n'est pas liée gravitationnellement à une étoile
Comment s'appelle le continent initial de la terre;Primis continentis;Primitivasummum;Pangée;Fundamentalis terrae;Réponse 3;le continent initial de la Terre se nomme Pangée, c'était l'unique continent de la Terre il y a environ 240 millions d'années puis il s'est dispersé pour donner naissance aux continents que nous connaissons actuellement
Quel est le plus petit mammifère au monde ?;le ouistiti pygmée;la chauve-souris bourdon;la musaraigne étrusque;la grenouille de Papouasie;Réponse 2;la Craseonycteris thonglongyai ou plus communément appelée chauve-souris bourdon mesure entre 2.9 et 3.3 cm et pèse seulement 2 grammes !
Quel est le jeu le plus téléchargé au monde ?;Minecraft;Roblox;Fortnite;Subway Surfers;Réponse 4;Subway Surfers compte plus de 1 milliard de téléchargement actuellement et est le jeu le plus téléchargé au monde !
Quel est le plus haut volcan au monde ?;Elbrus;Kilimandjaro;Cerro Llullaillaco;Chimborazo;Réponse 3;le Cerro Llullaillaco est le plus haut volcan actif au monde, son sommet culmine à 6 739 m d'altitude !
Combien de pays y a-t-il dans le monde ?;164;218;193;197;Réponse 4;actuellement, il y a 197 pays dans le monde, ce chiffre a énormément augmenté durant le siècle dernier grâce à la décolonisation
Laquelle de ces inventions a été créé en premier ?;la dynamite;l'électricité ;l'avion;le vélo;Réponse 1;l'invention de la dynamite date de 1867, c'est Alfred Nobel, un chimiste suèdois qui l'a créée
Parmi les pays suivants, lequel n'est pas dans l'Union européenne ?;la Norvège;La Suède;le Danemark;la Finlande;Réponse 1;la Norvège ne fait pas partie de l'Union Européenne
Combien de jours une année bissextile compte-t-elle ?;365;366;364;367;Réponse 2;une année bissextile compte 366 jours, il s'agit d'un décalage, car en réalité une année dure 365 jours et 6 h, il faut bien les rattraper !
Quel est le nom usuel d'un terrain de tennis ?;question piège, aucune réponse n'est bonne;la pelouse ;le court;le ground;Réponse 3;un terrain de tennis est souvent appelé court par les habitués
Quel animal peut être : marteau, tigre ou pélerin ?;la baleine;le requin ;l'orque ;le moustique;Réponse 2;c'est le requin, il existe énormémenent d'espèces de requins dont le requin marteau, le requin pèlerin et encore le requin tigre
Qui a inventé les transports en communs moderne ?;Séraphin Lampion;René Descartes;Eugène Poubelle;Blaise Pascal;Réponse 4;Blaise Pascal a inventé en 1662 les premiers transports en commun modernes
Dans quel articulation du corps humain se situe la rotule ?;le coude;le bassin;le genou;le cou;Réponse 3;la rotule est la partie osseuse du genou, c'est le groupe musculaire le plus puissant du corps humain !
Quelle est l'étoile la plus proche du Soleil ?;Wolf 359;Proxima du centaure;Sirius;Altaïr;Réponse 2;l'étoile la plus proche du soleil est Proxima du Centaure, elle est située à environ 40 000 milliards de km du Soleil !
